Review,Lecturer,Training_program,Facility,Others
"bổ sung thêm slide và giáo trình tiếng việt .không hiểu bài giảng .thầy wzjwz202 và thầy wzjwz203 dạy rất tuyệt vời .em thấy bất cập là khi giải bài trên bảng ở giảng đường 1 , khoảng cách thì xa trong khi chữ viết của sinh viên lại rất mờ và nhỏ , khó có thể thấy rõ .",3,1,1,1
"giảng viên hỗ trợ bài giảng , tài liệu tham khảo rất đầy đủ trên moodle .cô dạy rất tâm huyết và thường học sinh .tránh tình trạng giảng viên đang dạy thì hết phấn , micro hết pin .giờ học thiếu sinh động .",3,1,1,1
"vui tính hòa đồng với sinh viên .cần có giáo trình cụ thể , riêng và phù hợp với nội dung học trong trường .không hiểu bài cho lắm .phòng học còn thiếu chất lượng , trời nóng nên bố trí thêm quạt cho dãy hai bên phòng .",3,1,1,1
slide chuẩn bị chưa tốt .đảm bảo cho sinh viên không ngủ gật .tính kỷ luật cao .cái máy chiếu ở giảng đường 3 quá mờ .,1,1,1,1
"dạy rất kỹ .cần nâng cao công tác giảng dạy .nâng cấp trang thiết bị phòng học doubledot máy chiếu , quạt .dù đã xem trước bài khi lên lớp nhưng nó quá xa lạ đối với em .",3,1,1,1
"thầy wzjwz182 dạy rất hay , rất dễ hiểu .cần có nền tảng trước khi xây dựng cả một website .chưa thực sự tốt .chất lượng phòng thực hành quá kém .",3,1,1,1
"theo em nghĩ , đã làm đồ án môn học thì không nên thi cuối kỳ , mà thi cuối kỳ thì nên bỏ đồ án môn học .giảng viên cần tạo thêm những hoạt động tranh luận , làm việc nhóm nhiều hơn thay vì chỉ dạy lý thuyết .thầy có quá trình quản lý công việc , lịch trình rõ ràng , phù hợp với sinh viên .nhàm chán .",1,1,1,1
"thầy dạy dễ hiểu vui tính , rất tâm huyết .lợi ích doubledot sinh viên rèn luyện kỹ năng làm việc nhóm , tránh tiếp thu thụ động , học được cách trình bày trước đám đông .máy tính của phòng thực hành không phục vụ được nội dung thực hành , giảng viên yêu cầu tự làm trên laptop rồi mang lên phòng thực hành chấm điểm , vậy phòng thực hành dùng để chấm điểm ?sự thân thiện , cởi mở và nhiệt tình .",3,3,1,3
"cần tương tác với sinh viên nhiều hơn , cần hướng dẫn sinh viên trước khi thực hành .tiết học thiếu không khí vui tươi , nhiệt tình từ sinh viên .khiến sinh viên cảm thấy nản .cần có các thiết bị di động thật để sinh viên thực hành khi cần thiết , vì các chương trình mô phỏng trên máy tính là không đầy đủ .",1,1,1,1
"cần giáo trình hay hơn .cách truyền đạt của giảng viên khó hiểu , như nói trên mây , khó cho sinh viên tiếp cận .chú tâm , hướng dẫn cho từng học sinh , tương đối dễ hiểu .mạng wifi thì không vào được , mạng dây thì cột chặt vào pc .",1,1,1,3
"thầy dạy hay , dễ hiểu , nhiệt tình .cần nâng cao hơn chất lượng giảng dạy .do sinh viên đầu tư thời gian và công sức nhiều vào đồ án .cần nâng cao chất lượng phòng máy .",3,1,1,1
"giảng viên chưa truyền đạt được bài học một cách dễ hiểu .đi học xa quá ạ , mong trường có kế hoạch nào đó cho sinh viên học thể dục bên nhân văn đi bộ cho gần ạ !phòng học quá nóng , thiếu quạt .thầy dậy rất nhiệt tình .",1,1,1,2
"thầy tận tâm , nhiệt tình dạy dễ hiểu .em xin đề xuất thêm những buổi thực hành để nâng cao tầm hiệu quả của môn học .nên làm sạch lại bàn ghế , và một số thiết bị bằng điện .rồi một nhóm thì phải chấm điểm báo cáo cuối kỳ cho 3 nhóm khác , làm phiếu chấm điểm , soạn câu hỏi mà có yêu cầu ra đáp án đồ án của nhóm code chưa tới đâu thì sao mà ngồi đọc source của nhóm khác để code tiếp cho họ .",3,1,1,1
"thầy tận tâm , dạy dễ hiểu , hướng dẫn kỹ cho sinh viên cách giải bài tập .tiết học vui vẻ , thoải mái .nếu không thì coi như lớp đi toi .máy chiếu quá mờ , phòng học nóng .",3,3,1,1
