Review,Lecturer,Training_program,Facility,Others
dễ trong việc tiếp xúc với thực tế sau này .,0,0,0,3
tuy năm 3 - 4 nhưng nhiều bạn vẫn chưa biết cách báo cáo đồ án như thế nào là hợp lý và hiệu quả nhất .,0,0,0,1
sinh động .,0,0,0,3
mong ý kiến của em sẽ được xem xét .,0,0,0,1
đề cập nhiều thông tin mở rộng ngoài xã hội .,0,0,0,3
không có gì để phàn nàn .,0,0,0,2
tiếng động cơ xây dựng có lúc ồn quá .,0,0,0,1
em không hiểu và thầy giải thích em cũng không hiểu thầy đang nói gì .,0,0,0,1
"cô vui vẻ , nhiệt tình .",0,0,0,3
"rất tốt , không có ý kiến .",0,0,0,3
nope .,0,0,0,2
vì đôi khi tụi em theo bài không kịp .,0,0,0,1
"chúng em đã gặp khó khắn với khổ giấy nhỏ , mô hình thì lớn và phức tạp .",0,0,0,1
em cảm ơn !,0,0,0,2
thầy dậy rất nhiệt tình .,0,0,0,2
giờ học thiếu sinh động .,0,0,0,1
"những thứ đó không đủ để làm bài thực hành như tuần 5 , tuần 6 , tuần 7 .",0,0,0,1
học những môn tiên quyết trước .,0,0,0,1
dễ thương coloncontemn .,0,0,0,3
nên có sự so sánh phản hồi về phương pháp lập trình của sinh viên .,0,0,0,1
không phải là môn đi học .,0,0,0,1
em tiến bộ rất nhanh .,0,0,0,3
trên đây là ý kiến về các vấn đề em nhận ra sau khi học .,0,0,0,2
"thật sự bọn em cũng cạn lời , đành ngậm ngùi mò lên mạng tra search các kiểu hơn một tiếng đồng hồ mới làm được một câu .",0,0,0,1
chào thầy fraction cô !,0,0,0,2
lý thuyết nên gắn liền với thực hành .,0,0,0,2
theo em nghĩ là quá nhiều cho 2 tín chỉ .,0,0,0,1
nhiều lúc em lên phòng và thấy lớp khác đang học khiến em hơi bối rối .,0,0,0,1
chưa tìm ra .,0,0,0,2
sự vui vẻ .,0,0,0,3
phải bỏ tiền học lại .,0,0,0,1
everything .,0,0,0,2
sinh viên nào chê thầy thì em nghĩ sinh viên đó nên xem lại cách học của sinh viên đó .,0,0,0,3
"thưa , không có .",0,0,0,2
mà hơn nữa ngủ ở lớp học còn rất dễ bị đau lưng .,0,0,0,1
"vừa giúp cho bọn em nắm chắc kiến thức về môn học , vừa giúp bọn em tự tin hơn về kỹ năng cá nhân của mình .",0,0,0,3
truyền dạt tốt .,0,0,0,3
"giảng viên nhiệt tình , truyền đạt dễ hiểu , điểm số công bằng .",0,0,0,1
cuối cùng chúc cô wzjwz2 có năm mới hạnh phúc !,0,0,0,3
"hình thức đánh giá , chấm điểm giữa các nhóm , đánh giá bản thân , nhóm khách hàng .",0,0,0,2
chỉ có vấn đề là em chưa cố gắng .,0,0,0,1
"đi từ dễ đến khó , có định hướng rõ ràng .",0,0,0,3
"thầy quá tuyệt vời , nhiệt tình , quá chu đáo .",0,0,0,1
dễ thương .,0,0,0,3
nên đưa ra các vấn đề thường gặp .,0,0,0,1
không có gì ạ .,0,0,0,2
"hai tuần cuối giảng viên nghỉ không báo trước , chưa phổ biến nội dung ôn thi cho lớp .",0,0,0,3
tốt ạ .,0,0,0,3
còn mốt số ý thầy truyền đạt vẫn còn chưa tốt .,0,0,0,1
sự thân thiện và tận tình .,0,0,0,3
"và thầy cứ chấm từng bạn từng bạn cho đến khi thầy bước đến chấm bài của tôi , lúc đầu tôi cứ nghĩ là thầy cũng sẽ như bao bạn khác chỉ hỏi lý thuyết và cách áp dụng vào đồ án , nhưng không thầy hỏi chính xác từng đoạn code cái này làm gì cái kia làm gì , và kết cục chắc các bạn cũng biết rồi , tôi đã tạch môn này .",0,0,0,1
không thực hành được buổi nào .,0,0,0,1
sự thân thiện giúp giảm căng thẳng trong buổi học .,0,0,0,3
"học thấy rất phí thời gian , kiến thức thu được chẳng bao nhiêu .",0,0,0,1
phù hợp với thực tiễn .,0,0,0,3
"chép bài nhiều quá , nhưng không sao .",0,0,0,2
"cô nhiệt tình , dễ tính .",0,0,0,3
không có ý kiến gì !,0,0,0,2
"tuy nhiên , thái độ của sinh viên trường uit với môn học này làm tôi rất rất thất vọng .",0,0,0,1
bảo ví dụ về tự kiểm tra .,0,0,0,1
"do học kỳ này em không thể đến lớp học môn này , nên em không thể đưa ra ý kiến gì thêm .",0,0,0,2
em xin cảm ơn !,0,0,0,2
"cô giảng bài dễ hiểu , vui tính , quan tâm sinh viên .",0,0,0,1
các thông tin không được tải lên moodle .,0,0,0,1
cô thoải mái .,0,0,0,3
"nhiệt tình , dễ mến , thân thiện , quan tâm sinh viên .",0,0,0,1
ảnh hưởng đến việc thực hành .,0,0,0,1
không có điều gì không hài lòng về thầy .,0,0,0,2
"đầu tư , nâng cấp hệ thống phòng máy , có biện pháp quản lý để giám sát việc cài đặt các chương trình không phục vụ mục đích học tập , các phần mềm độc hại vào các máy tính .",0,0,0,2
"không rõ "" thu được gì "" từ môn học này .",0,0,0,1
em thấy đã được .,0,0,0,2
giảng viên rất nhiệt tình và đúng giờ .,0,0,0,3
"và não của con người không thích sự dễ dàng , nếu chỉ xử lý sự dễ dàng thì não khó có thể phát triển đến khả năng của nó .",0,0,0,2
tệ .,0,0,0,1
không có gì cả .,0,0,0,2
em xim cám ơn !,0,0,0,2
điều này thiếu ở nhiều bộ môn khác .,0,0,0,2
mọi thứ đều tuyệt vời .,0,0,0,3
listening .,0,0,0,2
thú vị .,0,0,0,3
có nhiều tài liệu hay .,0,0,0,3
"cô dạy nhiệt tình , vui tính .",0,0,0,3
cần ôn tập kỹ trước khi thi .,0,0,0,1
không có ý kiến .,0,0,0,2
không hiểu bài cho lắm .,0,0,0,1
cảm thấy rất may mắn khi được học thầy .,0,0,0,3
không hay lắm !,0,0,0,1
quả không sai !,0,0,0,2
hi hi .,0,0,0,3
em thấy việc này khá bổ ích .,0,0,0,3
không có gì để hài lòng .,0,0,0,1
đôi chỗ vẫn khó hiểu .,0,0,0,1
cần nhiều hoạt động ngoại khóa .,0,0,0,1
"chúng em là sinh viên năm nhất , và chúng em vẫn chưa đủ khả năng để làm ra những sản phẩm của riêng mình , chúng em học "" giới thiệu ngành "" vì mục đích định hướng , chúng em tìm hiểu về hệ thống nhúng vì mục đích xem mình có nên theo ngành đó hay không , và chúng em nói theo cách mình hiểu và tiếp cận được từ các nguồn thông tin .",0,0,0,2
thầy dạy học phần 2 hơi khó chịu .,0,0,0,1
không hiểu bài giảng .,0,0,0,1
"thầy dạy rất rõ ràng , dễ hiểu .",0,0,0,2
ida pro 64-bit hoàn toàn có thể phân tích các file thực thi 32-bit nhưng các thanh ghi phức tạp hơn nhiều thay cho ida pro 64-bit không phân tích được cái file thực thi 32-bit colonsmile .,0,0,0,1
hay .,0,0,0,3
giảng nhanh quá .,0,0,0,2
chỉ thông báo trên lớp sẽ khó tránh sai sót .,0,0,0,1
cám ơn thầy !,0,0,0,2
"phóng tầm nhìn đi xa hơn , những khó khăn , những kiến thức cần phải học để thành công trên đường đời .",0,0,0,3
em rất hài lòng .,0,0,0,3
nhàm chán .,0,0,0,1
cần bổ sung các kiến thức về kiến trúc của dbms .,0,0,0,2
"thích ngủ thì ngủ , ngoài ra chả có gì hài lòng .",0,0,0,1
quá nhanh .,0,0,0,1
em chỉ có góp ý nho nhỏ đó thôi ạ .,0,0,0,2
nói chung là nghe không bao giờ nghe rõ được .,0,0,0,1
và từ những sự cố trên tự nhiên năm nay em vừa tốn tiền học lại mà không được học vừa bị rớt môn không được cộng điểm rèn luyện .,0,0,0,1
không có điều gì !,0,0,0,2
không chi tiết nhiều về phần bài tập .,0,0,0,1
giúp biết thêm nhiều kiến thức mới .,0,0,0,3
chỉ làm bài tập dựa trên tài liệu và tìm kiếm trên mạng .,0,0,0,1
"đúng giờ , tận tâm .",0,0,0,3
hơi khô khan trong việc giảng dạy .,0,0,0,1
"thầy giảng lý thuyết khá chung chung , trừu tượng , khó áp dụng kiến thức .",0,0,0,1
khả năng nói tiếng anh tốt .,0,0,0,3
trách nhiệm .,0,0,0,2
bỏ vấn đề điểm danh .,0,0,0,1
học thầy được điểm cao .,0,0,0,3
cần nhiều tài liệu mới .,0,0,0,1
"chứ em nghĩ phần thư viện standford dùng để phân loại văn bản theo phương pháp naive bayes mà thầy wzjwz133 sử dụng và áp dụng được chắc cần thời gian để nghiên cứu , tìm hiểu mà không được công bố và cho sinh viên áp dụng thì uổng và tội cho thầy wzjwz133 quá !",0,0,0,1
chơi trò chơi .,0,0,0,2
thật sự rất hài lòng .,0,0,0,3
khiến sinh viên bị thụ động .,0,0,0,1
chứ nói thật là bọn em làm bài tập tại lớp không kịp ạ .,0,0,0,1
"tuy nhiên , em không thể làm khác được .",0,0,0,2
đó là tại sao .,0,0,0,2
nhiệt tình hết mình trong công việc giảng dạy và với sinh viên .,0,0,0,3
không có điều gì .,0,0,0,2
ít mục không đi sâu vào .,0,0,0,1
"chúc các thầy cô , anh chị làm việc vui vẻ !",0,0,0,3
giảng hơi nhiều kiến thức vượt quá phạm vi môn này .,0,0,0,3
